exercise,total_reps,accepted_reps,rejected_reps,acceptance_rate_pct,rejection_rate_pct,score_min,score_mean,score_max,threshold,nu,threshold_percentile,rom_mean,duration_mean,trunk_absmax_mean,elbow_drift_absmax_mean,wrist_rel_range_mean,elbow_min_mean,wrist_drift_absmax_mean
bicep_curl,51,39,12,76.47,23.53,-0.39354454343970446,0.012102929353209248,0.07808157118154613,0.00011101242820883429,0.05,10,152.7789035871917,1.3430314461390178,0.07550780561332605,0.24574175615813218,,,
lateral_raise,49,40,9,81.63,18.37,-0.13999661048569306,0.026974293823637252,0.10882098679952013,-0.00014561203871390482,0.06,10,,1.4883854437847526,0.03852889956716367,,1.1991977638127853,156.8877575932717,
shoulder_press,48,34,14,70.83,29.17,-0.4961877279848045,-0.034736558450746406,0.08998195314727309,-0.00029799255020551696,0.06,10,,1.8938801487286885,0.10721132299707577,,1.3889160652955372,,0.2997077101841568
