arm,rep_number,baseline,down_thr,up_thr,min_wrist_rel_y,max_wrist_rel_y,wrist_rel_range,duration,trunk_absmax,wrist_drift_absmax,wrist_drift_mean,n_frames,video_id,participant_id
L,10,0.2526101140422412,0.2726101140422412,0.6226101140422412,0.23271356523036957,1.5844780206680298,1.351764440536499,1.3006401062011719,0.0791533961892128,0.3403072655200958,0.09788771718740463,40,jeff_shoulderpress,jeff
L,1,0.30072626109886647,0.3207262610988665,0.6707262610988665,0.3142360746860504,1.5317672491073608,1.2175312042236328,1.1335597038269043,0.04740307107567787,0.22134986519813538,0.11538249254226685,35,renz_shoulderpress,renz
L,2,0.30072626109886647,0.3207262610988665,0.6707262610988665,0.30723875761032104,1.6380548477172852,1.3308160305023193,1.3669390678405762,0.058603353798389435,0.25051289796829224,0.12322212755680084,42,renz_shoulderpress,renz
L,3,0.30072626109886647,0.3207262610988665,0.6707262610988665,0.30549097061157227,1.6065130233764648,1.3010220527648926,1.3335990905761719,0.063840851187706,0.2642352879047394,0.14280979335308075,41,renz_shoulderpress,renz
L,4,0.30072626109886647,0.3207262610988665,0.6707262610988665,0.26075854897499084,1.6204535961151123,1.3596950769424438,1.3669395446777344,0.05629321187734604,0.2554537057876587,0.14818766713142395,42,renz_shoulderpress,renz
L,5,0.30072626109886647,0.3207262610988665,0.6707262610988665,0.30960291624069214,1.602738380432129,1.293135404586792,3.4006776809692383,0.04665057361125946,0.27636054158210754,0.16475355625152588,103,renz_shoulderpress,renz
L,6,0.30072626109886647,0.3207262610988665,0.6707262610988665,0.31555238366127014,1.5734376907348633,1.2578853368759155,3.2673187255859375,0.050452280789613724,0.2960267663002014,0.1736585795879364,99,renz_shoulderpress,renz
L,7,0.30072626109886647,0.3207262610988665,0.6707262610988665,0.282334566116333,1.6730952262878418,1.3907606601715088,1.3335990905761719,0.05627937614917755,0.272720605134964,0.16580051183700562,41,renz_shoulderpress,renz
L,8,0.30072626109886647,0.3207262610988665,0.6707262610988665,0.3182648718357086,1.6954801082611084,1.3772152662277222,1.3335990905761719,0.04173380136489868,0.3011856973171234,0.16250252723693848,41,renz_shoulderpress,renz
R,9,0.35690178731478406,0.3769017873147841,0.726901787314784,0.3748099207878113,1.525045394897461,1.1502354145050049,1.3669395446777344,0.04173380136489868,0.3077930808067322,0.18634171783924103,42,renz_shoulderpress,renz
