arm,rep_number,min_angle,max_angle,rom,duration,trunk_absmax,elbow_drift_absmax,elbow_drift_mean,n_frames,video_id,participant_id
R,7,6.806391716003418,162.3906707763672,155.5842742919922,1.0004768371582031,0.6397868394851685,6.9493913650512695,0.5645363926887512,31,jeff_bicep,jeff
L,8,9.171573638916016,162.7960968017578,153.62452697753906,1.2339210510253906,0.9713151454925537,1.9073904752731323,0.3958020508289337,38,jeff_bicep,jeff
L,9,14.523942947387695,168.96536254882812,154.44142150878906,1.4673652648925781,0.6368702054023743,1.1676231622695923,0.31186458468437195,45,jeff_bicep,jeff
R,1,17.380245208740234,175.44668579101562,158.06643676757812,1.2002499103546143,0.06124071031808853,0.22372591495513916,0.15716761350631714,37,renz_bicep,renz
R,2,15.062769889831543,157.02554321289062,141.9627685546875,1.7336945533752441,0.04575953260064125,0.2741917073726654,0.09131444245576859,53,renz_bicep,renz
R,3,14.576627731323242,169.2819061279297,154.7052764892578,1.4336323738098145,0.03727501630783081,0.19456981122493744,0.11996567249298096,44,renz_bicep,renz
R,4,9.769905090332031,158.07020568847656,148.30029296875,1.3002710342407227,0.03173803165555,0.22720599174499512,0.09075065702199936,40,renz_bicep,renz
R,5,11.385629653930664,163.39361572265625,152.0079803466797,1.5336523056030273,0.043388742953538895,0.2243966907262802,0.08594895154237747,47,renz_bicep,renz
R,6,15.395217895507812,155.88490295410156,140.48968505859375,1.6336736679077148,0.019214726984500885,0.21388690173625946,0.148506760597229,50,renz_bicep,renz
R,7,17.665910720825195,163.03065490722656,145.36474609375,1.3336105346679688,0.04002780094742775,0.29931139945983887,0.13059860467910767,41,renz_bicep,renz
R,8,7.983602523803711,157.46742248535156,149.48382568359375,1.3002700805664062,0.04035703092813492,0.3206225633621216,0.13317060470581055,40,renz_bicep,renz
R,9,2.8723769187927246,157.94680786132812,155.07443237304688,1.7003555297851562,0.04010670632123947,0.22035586833953857,0.09355790913105011,52,renz_bicep,renz
R,10,18.92852020263672,161.75784301757812,142.82931518554688,1.5003128051757812,0.044489264488220215,0.3169887065887451,0.14587710797786713,46,renz_bicep,renz
R,11,14.589987754821777,160.62020874023438,146.0302276611328,1.733694076538086,0.04373958334326744,0.35340678691864014,0.14090821146965027,53,renz_bicep,renz
